Participant,Group,Phase,Condition,GroupCode,WindowIndex,WindowStart_s,WindowEnd_s,f_peak_Hz,LFpeak_TP,LF_power,HF_power,TP,LF_HF,RespRate_bpm,RF_cardiac,RF_CR
E01,HRVBF,Baseline,0,1,0,1.0234375,61.0234375,0.11666666666666667,0.3401934726613537,0.0017158166349171811,0.003327832855163407,0.005043649490080587,0.515595797503757,28.389923329682365,0,0
E01,HRVBF,Baseline,0,1,1,31.0234375,91.0234375,0.11666666666666667,0.2771346963291607,0.00248210103483255,0.006474197356201421,0.008956298391033972,0.38338359155131824,28.171557562076746,0,0
E01,HRVBF,Baseline,0,1,2,61.0234375,121.0234375,0.08333333333333333,0.4233786581254086,0.002806862941962215,0.0038228121446142955,0.0066296750865765105,0.7342403539019349,29.72770955686065,1,0
E01,HRVBF,Baseline,0,1,3,91.0234375,151.0234375,0.15,0.3912164689681043,0.0022932383807297055,0.003568576145582254,0.005861814526311958,0.6426199938506671,24.787520172135558,0,0
E01,HRVBF,Baseline,0,1,4,121.0234375,181.0234375,0.05,0.3307287849118336,0.0008951086121158764,0.0018113646461900084,0.0027064732583058845,0.49416257184804374,25.384615384615383,0,0
E01,HRVBF,Baseline,0,1,5,151.0234375,211.0234375,0.05,0.4290384829519009,0.002172537894438492,0.002891198765011829,0.005063736659450322,0.7514315240894908,23.362831858407077,0,0
E01,HRVBF,Baseline,0,1,6,181.0234375,241.0234375,0.11666666666666667,0.3444009192504084,0.001359755256426482,0.0025884201996263104,0.003948175456052792,0.5253224559995281,25.709694697375465,0,0
E01,HRVBF,Intervention,1,1,0,1.0078125,61.0078125,0.11666666666666667,0.26967709369041726,0.0012170889333779087,0.003296045336658007,0.004513134270035916,0.3692573399527217,19.729583558680368,0,0
E01,HRVBF,Intervention,1,1,1,31.0078125,91.0078125,0.1,0.8446363858462879,0.003975674762747162,0.0007312912517037945,0.004706966014450957,5.436513500584698,20.043956043956044,1,0
E01,HRVBF,Intervention,1,1,2,61.0078125,121.0078125,0.08333333333333333,0.5434933503052123,0.004768900994437024,0.004005633214231634,0.008774534208668658,1.190548594787354,15.673469387755102,1,0
E01,HRVBF,Intervention,1,1,3,91.0078125,151.0078125,0.13333333333333333,0.26947494490592033,0.001870460219256089,0.0050706682775290505,0.0069411284967851395,0.3688784430141364,17.548387096774196,0,0
